,city,state_id,state_name,county_name,lat,lng
4681,New London,NH,New Hampshire,Merrimack,43.4139,-71.9844
4682,Peterborough,NH,New Hampshire,Hillsborough,42.879,-71.9593
4683,Union,NH,New Hampshire,Carroll,43.4913,-71.0233
4684,Walpole,NH,New Hampshire,Cheshire,43.0792,-72.4236
4685,Enfield,NH,New Hampshire,Grafton,43.6448,-72.148
4686,Suncook,NH,New Hampshire,Merrimack,43.1382,-71.4528
4687,Sanbornville,NH,New Hampshire,Carroll,43.5524,-71.03
4688,Blodgett Landing,NH,New Hampshire,Merrimack,43.3757,-72.0392
4689,Milford,NH,New Hampshire,Hillsborough,42.8327,-71.6612
4690,Marlborough,NH,New Hampshire,Cheshire,42.905,-72.2116
4691,Contoocook,NH,New Hampshire,Merrimack,43.2232,-71.7129
4692,Newfields,NH,New Hampshire,Rockingham,43.0354,-70.9391
4693,Pinardville,NH,New Hampshire,Hillsborough,43.001000000000005,-71.5171
4694,North Sutton,NH,New Hampshire,Merrimack,43.364,-71.9395
4695,Exeter,NH,New Hampshire,Rockingham,42.9776,-70.9466
4696,South Hooksett,NH,New Hampshire,Merrimack,43.0337,-71.4254
4697,Center Sandwich,NH,New Hampshire,Carroll,43.8085,-71.4396
4698,Hancock,NH,New Hampshire,Hillsborough,42.974,-71.9807
4699,Antrim,NH,New Hampshire,Hillsborough,43.0379,-71.946
4700,Newport,NH,New Hampshire,Sullivan,43.367,-72.1766
4701,West Stewartstown,NH,New Hampshire,Coos,44.9906,-71.5309
4702,Keene,NH,New Hampshire,Cheshire,42.9496,-72.2997
4703,Georges Mills,NH,New Hampshire,Sullivan,43.4317,-72.0673
4704,Concord,NH,New Hampshire,Merrimack,43.2307,-71.5595
4705,Belmont,NH,New Hampshire,Belknap,43.443000000000005,-71.47800000000001
4706,Twin Mountain,NH,New Hampshire,Coos,44.2723,-71.539
4707,Durham,NH,New Hampshire,Strafford,43.1413,-70.9228
4708,Manchester,NH,New Hampshire,Hillsborough,42.9844,-71.4445
4709,Glen,NH,New Hampshire,Carroll,44.1101,-71.1826
4710,North Haverhill,NH,New Hampshire,Grafton,44.0938,-72.0272
4711,Rochester,NH,New Hampshire,Strafford,43.2991,-70.9791
4712,Winchester,NH,New Hampshire,Cheshire,42.777,-72.3851
4713,Wilton,NH,New Hampshire,Hillsborough,42.847,-71.7359
4714,Bennington,NH,New Hampshire,Hillsborough,43.0035,-71.9207
4715,Melvin Village,NH,New Hampshire,Carroll,43.6894,-71.3033
4716,Pittsfield,NH,New Hampshire,Merrimack,43.3001,-71.3314
4717,Wolfeboro,NH,New Hampshire,Carroll,43.5913,-71.2092
4718,Claremont,NH,New Hampshire,Sullivan,43.379,-72.3368
